GEO_ID,NAME,S2201_C03_001E
24001,"Allegany County, Maryland",5621
24003,"Anne Arundel County, Maryland",12748
24005,"Baltimore County, Maryland",29903
24009,"Calvert County, Maryland",1880
24011,"Caroline County, Maryland",2045
24013,"Carroll County, Maryland",4078
24015,"Cecil County, Maryland",4304
24017,"Charles County, Maryland",4104
24019,"Dorchester County, Maryland",2846
24021,"Frederick County, Maryland",5911
24023,"Garrett County, Maryland",1699
24025,"Harford County, Maryland",7305
24027,"Howard County, Maryland",5684
24029,"Kent County, Maryland",1029
24031,"Montgomery County, Maryland",22979
24033,"Prince George's County, Maryland",29021
24035,"Queen Anne's County, Maryland",1326
24037,"St. Mary's County, Maryland",4015
24039,"Somerset County, Maryland",2090
24041,"Talbot County, Maryland",1804
24043,"Washington County, Maryland",8561
24045,"Wicomico County, Maryland",6268
24047,"Worcester County, Maryland",2144
24510,"Baltimore city, Maryland",57468
